season,t_h,irradiance_umol_m2_s,temperature_C,evaporation_m3_h
spring,0.0,0.0,20.8,0.005
spring,1.0,0.0,20.4145,0.004422
spring,2.0,0.0,20.0638,0.004125
spring,3.0,0.0,19.7561,0.004016
spring,4.0,0.0,19.5,0.004
spring,5.0,0.0,19.2627,0.004419
spring,6.0,0.0,19.0363,0.005534
spring,7.0,28.33,18.8667,0.007132
spring,8.0,100.0,18.8,0.009
spring,9.0,372.19,18.9564,0.012348
spring,10.0,750.0,19.3588,0.017413
spring,11.0,1070.28,19.9068,0.022522
spring,12.0,1300.0,20.5,0.026
spring,13.0,1380.0,21.4057,0.028026
spring,14.0,1250.0,22.6412,0.029
spring,15.0,1029.34,23.7311,0.027654
spring,16.0,750.0,24.2,0.025
spring,17.0,376.01,24.0141,0.021112
spring,18.0,100.0,23.5625,0.01583
spring,19.0,28.33,23.0047,0.010883
spring,20.0,0.0,22.5,0.008
spring,21.0,0.0,22.075,0.006814
spring,22.0,0.0,21.65,0.005862
spring,23.0,0.0,21.225,0.00523
summer,0.0,0.0,23.5,0.008
summer,1.0,0.0,23.0544,0.006844
summer,2.0,0.0,22.6492,0.00625
summer,3.0,0.0,22.2944,0.006031
summer,4.0,0.0,22.0,0.006
summer,5.0,15.0,21.7283,0.006773
summer,6.0,50.0,21.4696,0.008812
summer,7.0,121.11,21.2761,0.011695
summer,8.0,250.0,21.2,0.015
summer,9.0,558.12,21.3631,0.020127
summer,10.0,950.0,21.785,0.027546
summer,11.0,1295.24,22.3644,0.035443
summer,12.0,1550.0,23.0,0.042
summer,13.0,1650.0,24.0106,0.047821
summer,14.0,1500.0,25.415,0.051
summer,15.0,1255.01,26.6619,0.046952
summer,16.0,950.0,27.2,0.04
summer,17.0,569.05,27.0205,0.033338
summer,18.0,250.0,26.5797,0.025962
summer,19.0,78.95,26.0241,0.019355
summer,20.0,0.0,25.5,0.015
summer,21.0,0.0,25.0298,0.012368
summer,22.0,0.0,24.539,0.010133
summer,23.0,0.0,24.0287,0.008581
autumn,0.0,0.0,14.6,0.004
autumn,1.0,0.0,14.4404,0.003562
autumn,2.0,0.0,14.2869,0.00325
autumn,3.0,0.0,14.14,0.003062
autumn,4.0,0.0,14.0,0.003
autumn,5.0,0.0,13.8452,0.003072
autumn,6.0,0.0,13.6818,0.003275
autumn,7.0,14.29,13.5526,0.003591
autumn,8.0,50.0,13.5,0.004
autumn,9.0,167.86,13.5602,0.005265
autumn,10.0,350.0,13.7188,0.007673
autumn,11.0,574.11,13.943,0.010495
autumn,12.0,750.0,14.2,0.013
autumn,13.0,800.0,14.6758,0.015526
autumn,14.0,600.0,15.3812,0.017
autumn,15.0,443.95,16.0211,0.015025
autumn,16.0,300.0,16.3,0.012
autumn,17.0,112.5,16.1645,0.009807
autumn,18.0,0.0,15.8471,0.007669
autumn,19.0,0.0,15.4811,0.005946
autumn,20.0,0.0,15.2,0.005
autumn,21.0,0.0,15.0135,0.004598
autumn,22.0,0.0,14.8467,0.004281
autumn,23.0,0.0,14.7066,0.004074
winter,0.0,0.0,8.0,0.004
winter,1.0,0.0,7.6992,0.003633
winter,2.0,0.0,7.4271,0.003313
winter,3.0,0.0,7.1914,0.003086
winter,4.0,0.0,7.0,0.003
winter,5.0,0.0,6.8281,0.003
winter,6.0,0.0,6.6667,0.003
winter,7.0,0.0,6.5469,0.003
winter,8.0,0.0,6.5,0.003
winter,9.0,105.0,6.5885,0.00423
winter,10.0,300.0,6.8194,0.007197
winter,11.0,550.9,7.1406,0.010816
winter,12.0,750.0,7.5,0.014
winter,13.0,800.0,8.1094,0.017151
winter,14.0,650.0,8.9806,0.019
winter,15.0,446.27,9.7615,0.016653
winter,16.0,250.0,10.1,0.013
winter,17.0,86.54,9.9772,0.010124
winter,18.0,0.0,9.681,0.007194
winter,19.0,0.0,9.3192,0.004916
winter,20.0,0.0,9.0,0.004
winter,21.0,0.0,8.741,0.004
winter,22.0,0.0,8.4878,0.004
winter,23.0,0.0,8.2407,0.004
